# time  xt  vt  xtrue  vtrue  Et  dE/T  t/T
0.228  2.8359  -0.58311  2.1914  -2.0514  19.335  7.2048e-12  0.11366
0.229  2.8353  -0.58607  2.1855  -2.0588  19.335  6.7325e-12  0.11415
0.23  2.8347  -0.58903  2.1795  -2.0662  19.335  6.2496e-12  0.11465
0.231  2.8341  -0.592  2.1735  -2.0735  19.335  5.7553e-12  0.11515
0.232  2.8335  -0.59497  2.1675  -2.0809  19.335  5.2499e-12  0.11565
0.233  2.8329  -0.59795  2.1614  -2.0882  19.335  4.733e-12  0.11615
0.234  2.8323  -0.60093  2.1554  -2.0955  19.335  4.2045e-12  0.11665
0.235  2.8317  -0.60392  2.1493  -2.1028  19.335  3.6642e-12  0.11714
0.236  2.8311  -0.60691  2.1432  -2.11  19.335  3.1121e-12  0.11764
0.237  2.8305  -0.60991  2.137  -2.1173  19.335  2.5478e-12  0.11814
0.238  2.8299  -0.61292  2.1309  -2.1245  19.335  1.9711e-12  0.11864
0.239  2.8293  -0.61593  2.1247  -2.1317  19.335  1.3821e-12  0.11914
0.24  2.8287  -0.61895  2.1185  -2.1389  19.335  7.8029e-13  0.11964
0.241  2.828  -0.62197  2.1123  -2.146  19.335  1.6569e-13  0.12014
0.242  2.8274  -0.625  2.1061  -2.1531  19.335  4.6173e-13  0.12063
0.243  2.8268  -0.62803  2.0998  -2.1603  19.335  1.1024e-12  0.12113
0.244  2.8262  -0.63107  2.0936  -2.1674  19.335  1.7565e-12  0.12163
0.245  2.8255  -0.63412  2.0873  -2.1744  19.335  2.4241e-12  0.12213
0.246  2.8249  -0.63717  2.0809  -2.1815  19.335  3.1056e-12  0.12263
0.247  2.8242  -0.64023  2.0746  -2.1885  19.335  3.8009e-12  0.12313
0.248  2.8236  -0.64329  2.0682  -2.1955  19.335  4.5105e-12  0.12363
0.249  2.823  -0.64636  2.0619  -2.2025  19.335  5.2343e-12  0.12412
