i	t	sum
450	-5.946	2.80569e-26
451	-5.94588	2.82167e-26
452	-5.94576	2.83859e-26
453	-5.94564	2.85645e-26
454	-5.94552	2.87528e-26
455	-5.9454	2.89509e-26
456	-5.94528	2.91589e-26
457	-5.94516	2.93772e-26
458	-5.94504	2.96057e-26
459	-5.94492	2.98446e-26
460	-5.9448	3.00941e-26
461	-5.94468	3.03542e-26
462	-5.94456	3.06251e-26
463	-5.94444	3.09069e-26
464	-5.94432	3.11997e-26
465	-5.9442	3.15035e-26
466	-5.94408	3.18185e-26
467	-5.94396	3.21448e-26
468	-5.94384	3.24823e-26
469	-5.94372	3.28313e-26
470	-5.9436	3.31916e-26
471	-5.94348	3.35635e-26
472	-5.94336	3.39469e-26
473	-5.94324	3.43419e-26
474	-5.94312	3.47485e-26
475	-5.943	3.51667e-26
476	-5.94288	3.55967e-26
477	-5.94276	3.60383e-26
478	-5.94264	3.64916e-26
479	-5.94252	3.69566e-26
480	-5.9424	3.74334e-26
481	-5.94228	3.79219e-26
482	-5.94216	3.84221e-26
483	-5.94204	3.8934e-26
484	-5.94192	3.94576e-26
485	-5.9418	3.9993e-26
486	-5.94168	4.054e-26
487	-5.94156	4.10986e-26
488	-5.94144	4.1669e-26
489	-5.94132	4.22509e-26
490	-5.9412	4.28444e-26
491	-5.94108	4.34494e-26
492	-5.94096	4.4066e-26
493	-5.94084	4.4694e-26
494	-5.94072	4.53335e-26
495	-5.9406	4.59844e-26
496	-5.94048	4.66467e-26
497	-5.94036	4.73203e-26
498	-5.94024	4.80052e-26
499	-5.94012	4.87013e-26
500	-5.94	4.94086e-26
501	-5.93988	5.0127e-26
502	-5.93976	5.08566e-26
503	-5.93964	5.15972e-26
504	-5.93952	5.23489e-26
505	-5.9394	5.31114e-26
506	-5.93928	5.38849e-26
507	-5.93916	5.46693e-26
508	-5.93904	5.54645e-26
509	-5.93892	5.62705e-26
510	-5.9388	5.70872e-26
511	-5.93868	5.79145e-26
512	-5.93856	5.87525e-26
513	-5.93844	5.96011e-26
514	-5.93832	6.04603e-26
515	-5.9382	6.13299e-26
516	-5.93808	6.22101e-26
517	-5.93796	6.31006e-26
518	-5.93784	6.40015e-26
519	-5.93772	6.49128e-26
520	-5.9376	6.58344e-26
521	-5.93748	6.67663e-26
522	-5.93736	6.77084e-26
523	-5.93724	6.86608e-26
524	-5.93712	6.96233e-26
525	-5.937	7.0596e-26
526	-5.93688	7.15788e-26
527	-5.93676	7.25717e-26
528	-5.93664	7.35748e-26
529	-5.93652	7.45878e-26
530	-5.9364	7.56109e-26
531	-5.93628	7.66441e-26
532	-5.93616	7.76873e-26
533	-5.93604	7.87404e-26
534	-5.93592	7.98036e-26
535	-5.9358	8.08768e-26
536	-5.93568	8.19599e-26
537	-5.93556	8.3053e-26
538	-5.93544	8.41561e-26
539	-5.93532	8.52691e-26
540	-5.9352	8.63921e-26
541	-5.93508	8.75251e-26
542	-5.93496	8.86681e-26
