i	t	sum
478	-5.94264	1.45966e-23
479	-5.94252	1.47826e-23
480	-5.9424	1.49734e-23
481	-5.94228	1.51687e-23
482	-5.94216	1.53688e-23
483	-5.94204	1.55736e-23
484	-5.94192	1.57831e-23
485	-5.9418	1.59972e-23
486	-5.94168	1.6216e-23
487	-5.94156	1.64395e-23
488	-5.94144	1.66676e-23
489	-5.94132	1.69003e-23
490	-5.9412	1.71377e-23
491	-5.94108	1.73798e-23
492	-5.94096	1.76264e-23
493	-5.94084	1.78776e-23
494	-5.94072	1.81334e-23
495	-5.9406	1.83938e-23
496	-5.94048	1.86587e-23
497	-5.94036	1.89281e-23
498	-5.94024	1.92021e-23
499	-5.94012	1.94805e-23
500	-5.94	1.97634e-23
501	-5.93988	2.00508e-23
502	-5.93976	2.03426e-23
503	-5.93964	2.06389e-23
504	-5.93952	2.09395e-23
505	-5.9394	2.12446e-23
506	-5.93928	2.1554e-23
507	-5.93916	2.18677e-23
508	-5.93904	2.21858e-23
509	-5.93892	2.25082e-23
510	-5.9388	2.28349e-23
511	-5.93868	2.31658e-23
512	-5.93856	2.3501e-23
513	-5.93844	2.38405e-23
514	-5.93832	2.41841e-23
515	-5.9382	2.4532e-23
516	-5.93808	2.4884e-23
517	-5.93796	2.52402e-23
518	-5.93784	2.56006e-23
519	-5.93772	2.59651e-23
520	-5.9376	2.63338e-23
521	-5.93748	2.67065e-23
522	-5.93736	2.70834e-23
523	-5.93724	2.74643e-23
524	-5.93712	2.78493e-23
525	-5.937	2.82384e-23
526	-5.93688	2.86315e-23
527	-5.93676	2.90287e-23
528	-5.93664	2.94299e-23
529	-5.93652	2.98351e-23
530	-5.9364	3.02444e-23
531	-5.93628	3.06576e-23
532	-5.93616	3.10749e-23
533	-5.93604	3.14962e-23
534	-5.93592	3.19214e-23
535	-5.9358	3.23507e-23
536	-5.93568	3.2784e-23
537	-5.93556	3.32212e-23
538	-5.93544	3.36624e-23
539	-5.93532	3.41076e-23
540	-5.9352	3.45569e-23
541	-5.93508	3.50101e-23
542	-5.93496	3.54673e-23
543	-5.93484	3.59285e-23
544	-5.93472	3.63937e-23
545	-5.9346	3.68629e-23
546	-5.93448	3.73361e-23
547	-5.93436	3.78133e-23
548	-5.93424	3.82946e-23
549	-5.93412	3.87799e-23
550	-5.934	3.92693e-23
551	-5.93388	3.97627e-23
552	-5.93376	4.02602e-23
553	-5.93364	4.07617e-23
554	-5.93352	4.12674e-23
555	-5.9334	4.17771e-23
556	-5.93328	4.2291e-23
557	-5.93316	4.2809e-23
558	-5.93304	4.33311e-23
559	-5.93292	4.38574e-23
560	-5.9328	4.43879e-23
561	-5.93268	4.49225e-23
562	-5.93256	4.54614e-23
563	-5.93244	4.60045e-23
564	-5.93232	4.65518e-23
565	-5.9322	4.71034e-23
566	-5.93208	4.76593e-23
567	-5.93196	4.82195e-23
568	-5.93184	4.8784e-23
569	-5.93172	4.93528e-23
570	-5.9316	4.9926e-23
571	-5.93148	5.05035e-23
572	-5.93136	5.10854e-23
573	-5.93124	5.16717e-23
574	-5.93112	5.22625e-23
575	-5.931	5.28577e-23
576	-5.93088	5.34573e-23
577	-5.93076	5.40615e-23
578	-5.93064	5.46701e-23
579	-5.93052	5.52832e-23
580	-5.9304	5.59009e-23
581	-5.93028	5.65231e-23
582	-5.93016	5.71498e-23
583	-5.93004	5.77812e-23
584	-5.92992	5.84171e-23
585	-5.9298	5.90576e-23
586	-5.92968	5.97027e-23
587	-5.92956	6.03524e-23
588	-5.92944	6.10068e-23
589	-5.92932	6.16658e-23
590	-5.9292	6.23294e-23
591	-5.92908	6.29977e-23
592	-5.92896	6.36706e-23
593	-5.92884	6.43482e-23
594	-5.92872	6.50304e-23
595	-5.9286	6.57173e-23
596	-5.92848	6.64088e-23
597	-5.92836	6.71049e-23
598	-5.92824	6.78057e-23
599	-5.92812	6.85111e-23
600	-5.928	6.9221e-23
601	-5.92788	6.99356e-23
602	-5.92776	7.06547e-23
603	-5.92764	7.13783e-23
604	-5.92752	7.21065e-23
605	-5.9274	7.28392e-23
606	-5.92728	7.35763e-23
607	-5.92716	7.43178e-23
608	-5.92704	7.50637e-23
609	-5.92692	7.58139e-23
610	-5.9268	7.65684e-23
611	-5.92668	7.73272e-23
612	-5.92656	7.80901e-23
613	-5.92644	7.88572e-23
614	-5.92632	7.96283e-23
615	-5.9262	8.04034e-23
616	-5.92608	8.11825e-23
617	-5.92596	8.19653e-23
618	-5.92584	8.2752e-23
619	-5.92572	8.35423e-23
620	-5.9256	8.43361e-23
621	-5.92548	8.51335e-23
622	-5.92536	8.59342e-23
623	-5.92524	8.67382e-23
624	-5.92512	8.75453e-23
625	-5.925	8.83554e-23
626	-5.92488	8.91684e-23
627	-5.92476	8.99842e-23
628	-5.92464	9.08026e-23
629	-5.92452	9.16234e-23
630	-5.9244	9.24465e-23
631	-5.92428	9.32718e-23
632	-5.92416	9.40991e-23
633	-5.92404	9.49281e-23
634	-5.92392	9.57588e-23
