# t  xE  yE  xM  yM  xA  yA
3.76  4.67082e+06  0  -3.79732e+08  0  0  0
3.77  4.67082e+06  0  -3.79732e+08  0  0  0
3.78  4.67082e+06  0  -3.79732e+08  0  0  0
3.79  4.67082e+06  0  -3.79732e+08  0  0  0
3.8  4.67082e+06  0  -3.79732e+08  0  0  0
3.81  4.67082e+06  0  -3.79732e+08  0  0  0
3.82  4.67082e+06  0  -3.79732e+08  0  0  0
3.83  4.67082e+06  0  -3.79732e+08  0  0  0
3.84  4.67082e+06  0  -3.79732e+08  0  0  0
3.85  4.67082e+06  0  -3.79732e+08  0  0  0
3.86  4.67082e+06  0  -3.79732e+08  0  0  0
3.87  4.67082e+06  0  -3.79732e+08  0  0  0
3.88  4.67082e+06  0  -3.79732e+08  0  0  0
3.89  4.67082e+06  0  -3.79732e+08  0  0  0
3.9  4.67082e+06  0  -3.79732e+08  0  0  0
3.91  4.67082e+06  0  -3.79732e+08  0  0  0
3.92  4.67082e+06  0  -3.79732e+08  0  0  0
3.93  4.67082e+06  0  -3.79732e+08  0  0  0
3.94  4.67082e+06  0  -3.79732e+08  0  0  0
3.95  4.67082e+06  0  -3.79732e+08  0  0  0
3.96  4.67082e+06  0  -3.79732e+08  0  0  0
3.97  4.67082e+06  0  -3.79732e+08  0  0  0
3.98  4.67082e+06  0  -3.79732e+08  0  0  0
3.99  4.67082e+06  0  -3.79732e+08  0  0  0
4  4.67082e+06  0  -3.79732e+08  0  0  0
4.01  4.67082e+06  0  -3.79732e+08  0  0  0
4.02  4.67082e+06  0  -3.79732e+08  0  0  0
4.03  4.67082e+06  0  -3.79732e+08  0  0  0
4.04  4.67082e+06  0  -3.79732e+08  0  0  0
4.05  4.67082e+06  0  -3.79732e+08  0  0  0
4.06  4.67082e+06  0  -3.79732e+08  0  0  0
4.07  4.67082e+06  0  -3.79732e+08  0  0  0
4.08  4.67082e+06  0  -3.79732e+08  0  0  0
4.09  4.67082e+06  0  -3.79732e+08  0  0  0
4.1  4.67082e+06  0  -3.79732e+08  0  0  0
4.11  4.67082e+06  0  -3.79732e+08  0  0  0
4.12  4.67082e+06  0  -3.79732e+08  0  0  0
4.13  4.67082e+06  0  -3.79732e+08  0  0  0
4.14  4.67082e+06  0  -3.79732e+08  0  0  0
4.15  4.67082e+06  0  -3.79732e+08  0  0  0
4.16  4.67082e+06  0  -3.79732e+08  0  0  0
4.17  4.67082e+06  0  -3.79732e+08  0  0  0
4.18  4.67082e+06  0  -3.79732e+08  0  0  0
4.19  4.67082e+06  0  -3.79732e+08  0  0  0
4.2  4.67082e+06  0  -3.79732e+08  0  0  0
4.21  4.67082e+06  0  -3.79732e+08  0  0  0
4.22  4.67082e+06  0  -3.79732e+08  0  0  0
4.23  4.67082e+06  0  -3.79732e+08  0  0  0
4.24  4.67082e+06  0  -3.79732e+08  0  0  0
4.25  4.67082e+06  0  -3.79732e+08  0  0  0
4.26  4.67082e+06  0  -3.79732e+08  0  0  0
4.27  4.67082e+06  0  -3.79732e+08  0  0  0
4.28  4.67082e+06  0  -3.79732e+08  0  0  0
4.29  4.67082e+06  0  -3.79732e+08  0  0  0
4.3  4.67082e+06  0  -3.79732e+08  0  0  0
4.31  4.67082e+06  0  -3.79732e+08  0  0  0
4.32  4.67082e+06  0  -3.79732e+08  0  0  0
4.33  4.67082e+06  0  -3.79732e+08  0  0  0
4.34  4.67082e+06  0  -3.79732e+08  0  0  0
4.35  4.67082e+06  0  -3.79732e+08  0  0  0
4.36  4.67082e+06  0  -3.79732e+08  0  0  0
4.37  4.67082e+06  0  -3.79732e+08  0  0  0
4.38  4.67082e+06  0  -3.79732e+08  0  0  0
4.39  4.67082e+06  0  -3.79732e+08  0  0  0
4.4  4.67082e+06  0  -3.79732e+08  0  0  0
4.41  4.67082e+06  0  -3.79732e+08  0  0  0
4.42  4.67082e+06  0  -3.79732e+08  0  0  0
4.43  4.67082e+06  0  -3.79732e+08  0  0  0
4.44  4.67082e+06  0  -3.79732e+08  0  0  0
4.45  4.67082e+06  0  -3.79732e+08  0  0  0
4.46  4.67082e+06  0  -3.79732e+08  0  0  0
4.47  4.67082e+06  0  -3.79732e+08  0  0  0
4.48  4.67082e+06  0  -3.79732e+08  0  0  0
4.49  4.67082e+06  0  -3.79732e+08  0  0  0
4.5  4.67082e+06  0  -3.79732e+08  0  0  0
4.51  4.67082e+06  0  -3.79732e+08  0  0  0
4.52  4.67082e+06  0  -3.79732e+08  0  0  0
4.53  4.67082e+06  0  -3.79732e+08  0  0  0
4.54  4.67082e+06  0  -3.79732e+08  0  0  0
4.55  4.67082e+06  0  -3.79732e+08  0  0  0
4.56  4.67082e+06  0  -3.79732e+08  0  0  0
4.57  4.67082e+06  0  -3.79732e+08  0  0  0
4.58  4.67082e+06  0  -3.79732e+08  0  0  0
4.59  4.67082e+06  0  -3.79732e+08  0  0  0
4.6  4.67082e+06  0  -3.79732e+08  0  0  0
4.61  4.67082e+06  0  -3.79732e+08  0  0  0
4.62  4.67082e+06  0  -3.79732e+08  0  0  0
4.63  4.67082e+06  0  -3.79732e+08  0  0  0
4.64  4.67082e+06  0  -3.79732e+08  0  0  0
4.65  4.67082e+06  0  -3.79732e+08  0  0  0
4.66  4.67082e+06  0  -3.79732e+08  0  0  0
4.67  4.67082e+06  0  -3.79732e+08  0  0  0
4.68  4.67082e+06  0  -3.79732e+08  0  0  0
4.69  4.67082e+06  0  -3.79732e+08  0  0  0
4.7  4.67082e+06  0  -3.79732e+08  0  0  0
4.71  4.67082e+06  0  -3.79732e+08  0  0  0
4.72  4.67082e+06  0  -3.79732e+08  0  0  0
4.73  4.67082e+06  0  -3.79732e+08  0  0  0
4.74  4.67082e+06  0  -3.79732e+08  0  0  0
4.75  4.67082e+06  0  -3.79732e+08  0  0  0
4.76  4.67082e+06  0  -3.79732e+08  0  0  0
4.77  4.67082e+06  0  -3.79732e+08  0  0  0
4.78  4.67082e+06  0  -3.79732e+08  0  0  0
